 Story, T	COL	SS	97	372	67	101	21	4	27	72	35	130	8	5	.272	.341	.567	.909
 Odor, R	TEX	2B	150	605	89	164	33	4	33	88	19	135	14	7	.271	.296	.502	.798
 Calhoun, K	LAA	RF	157	594	91	161	35	5	18	75	67	118	2	3	.271	.348	.438	.786
 Carpenter, M	STL	3B	129	473	81	128	36	6	21	68	81	108	0	4	.271	.380	.505	.885
 Flowers, T	ATL	C	83	281	27	76	18	0	8	41	29	91	0	0	.270	.357	.420	.777
 Castro, S	NYY	2B	151	577	63	156	29	1	21	70	24	118	4	0	.270	.300	.433	.734
 La Stella, T	CHC	3B	74	148	17	40	12	1	2	11	18	27	0	1	.270	.357	.405	.763
 Franklin, N	TB	LF	60	174	18	47	10	1	6	26	12	42	6	1	.270	.328	.443	.771
 Freese, D	PIT	3B	141	437	63	118	23	0	13	55	45	142	0	0	.270	.352	.412	.764
 Rodriguez, S	PIT	1B	140	300	49	81	16	1	18	56	33	102	2	1	.270	.349	.510	.859
 Rendon, A	WSH	3B	156	567	91	153	38	2	20	85	65	117	12	6	.270	.348	.450	.797
 Byrd, M	CLE	RF	34	115	11	31	6	0	5	19	11	38	0	0	.270	.326	.452	.778
 Soto, G	LAA	C	26	78	11	21	5	0	4	9	6	21	0	0	.269	.321	.487	.809
 Hardy, J	BAL	SS	115	405	43	109	29	0	9	48	26	68	0	0	.269	.309	.407	.716
 Barney, D	TOR	2B	104	279	35	75	13	2	4	19	22	48	2	2	.269	.322	.373	.695
 Markakis, N	ATL	RF	158	599	67	161	38	0	13	89	71	101	0	2	.269	.346	.397	.744
 Rosario, E	MIN	LF	92	335	52	90	17	2	10	32	12	91	5	2	.269	.295	.421	.716
 Rickard, J	BAL	RF	85	257	32	69	13	0	5	19	18	54	4	1	.268	.319	.377	.696
 Jaso, J	PIT	1B	132	380	45	102	25	3	8	42	45	74	0	4	.268	.353	.413	.766
 Dozier, B	MIN	2B	155	615	104	165	35	5	42	99	61	138	18	2	.268	.340	.546	.886
 Pujols, A	LAA	DH	152	593	71	159	19	0	31	119	49	75	4	0	.268	.323	.457	.780
 Kemp, M	ATL	LF	156	623	89	167	39	0	35	108	36	156	1	0	.268	.304	.499	.803
 Gordon, D	MIA	2B	79	325	47	87	7	6	1	14	18	55	30	7	.268	.305	.335	.641
 Narvaez, O	CWS	C	34	101	13	27	4	0	1	10	14	14	0	0	.267	.350	.337	.687
 Fryer, E	PIT	C	60	116	19	31	4	1	0	13	13	25	0	3	.267	.336	.319	.655
 Flores, W	NYM	3B	103	307	38	82	14	0	16	49	23	48	1	1	.267	.319	.469	.788
 Bradley, J	BOS	CF	156	558	94	149	30	7	26	87	63	143	9	2	.267	.349	.486	.835
 Reyes, J	NYM	3B	60	255	45	68	13	4	8	24	23	49	9	2	.267	.326	.443	.769
 Schoop, J	BAL	2B	162	615	82	164	38	1	25	82	21	137	1	2	.267	.298	.454	.752
 Pillar, K	TOR	CF	146	548	59	146	35	2	7	53	24	90	14	6	.266	.303	.376	.679
 Guyer, B	CLE	LF	101	293	39	78	17	1	9	32	19	55	3	2	.266	.372	.423	.795
 Hosmer, E	KC	1B	158	605	80	161	24	1	25	104	57	132	5	3	.266	.328	.433	.761
 Drew, S	WSH	2B	70	143	24	38	11	1	8	21	16	31	0	1	.266	.339	.524	.864
 Span, D	SF	CF	143	572	70	152	23	5	11	53	53	79	12	7	.266	.331	.381	.712
 Ozuna, M	MIA	CF	148	557	75	148	23	6	23	76	43	115	0	3	.266	.321	.452	.773
 Mazara, N	TEX	RF	145	516	59	137	13	3	20	64	39	112	0	2	.266	.320	.419	.739
 Loney, J	NYM	1B	100	343	30	91	16	1	9	34	16	37	0	0	.265	.307	.397	.703
 Rutledge, J	BOS	3B	28	49	9	13	6	0	0	3	6	19	2	0	.265	.345	.388	.733
 Sanchez, H	SD	1B	28	49	3	13	1	0	3	8	4	10	0	0	.265	.333	.469	.803
 Jones, A	BAL	CF	152	619	86	164	19	0	29	83	39	115	2	0	.265	.310	.436	.746
 Schebler, S	CIN	RF	82	257	36	68	12	2	9	40	19	59	2	4	.265	.330	.432	.762
 Castillo, W	ARI	C	113	416	41	110	24	0	14	68	33	121	2	0	.264	.322	.423	.745
 Bour, J	MIA	1B	90	280	35	74	12	1	15	51	38	56	0	0	.264	.349	.475	.824
 Forsythe, L	TB	2B	127	511	76	135	24	4	20	52	46	127	6	6	.264	.333	.444	.778
 Bourn, M	BAL	CF	113	375	48	99	13	6	5	38	28	92	15	5	.264	.314	.371	.684
 Descalso, D	COL	1B	99	250	38	66	12	2	8	38	34	56	3	0	.264	.349	.424	.773
 Cervelli, F	PIT	C	101	326	42	86	14	1	1	33	56	72	6	2	.264	.377	.322	.699
 Almonte, A	CLE	LF	67	182	24	48	20	1	1	22	8	42	8	0	.264	.294	.401	.695
 Bregman, A	HOU	3B	49	201	31	53	13	3	8	34	15	52	2	0	.264	.313	.478	.791
 Ruiz, C	LAD	C	62	201	21	53	8	0	3	15	27	33	3	1	.264	.365	.348	.713
 Puig, Y	LAD	RF	104	334	45	88	14	2	11	45	24	74	5	2	.263	.323	.416	.740
 Morales, K	KC	DH	154	558	65	147	24	0	30	93	48	120	0	0	.263	.327	.468	.795
 Lowrie, J	OAK	2B	87	338	30	89	12	1	2	27	26	65	0	0	.263	.314	.322	.637
 Ellsbury, J	NYY	CF	148	551	71	145	24	5	9	56	54	84	20	8	.263	.330	.374	.703
 Quinn, R	PHI	CF	15	57	10	15	4	0	0	6	8	19	5	1	.263	.373	.333	.706
 Robertson, D	SEA	LF	9	19	1	5	1	0	0	1	1	3	0	1	.263	.300	.316	.616
 Tapia, R	COL	CF	22	38	4	10	0	0	0	3	2	11	3	0	.263	.293	.263	.556
 Valaika, P	COL	SS	13	19	3	5	1	0	1	2	0	8	0	0	.263	.263	.474	.737
 Gennett, S	MIL	2B	136	498	58	131	30	1	14	56	38	114	8	1	.263	.317	.412	.728
 Encarnacion, E	TOR	DH	160	601	99	158	34	0	42	127	87	138	2	0	.263	.357	.529	.886
 Hill, A	BOS	3B	125	378	48	99	14	0	10	38	41	59	4	2	.262	.336	.378	.714
 Gillaspie, C	SF	3B	101	191	24	50	8	4	6	25	12	28	1	2	.262	.307	.440	.747
 Gurriel, Y	HOU	3B	36	130	13	34	7	0	3	15	5	12	1	1	.262	.292	.385	.677
 Gardner, B	NYY	LF	148	547	80	143	22	6	7	41	70	106	16	4	.261	.351	.362	.713
 Centeno, J	MIN	C	55	176	16	46	12	1	3	25	12	38	0	0	.261	.312	.392	.704
 Mauer, J	MIN	1B	134	494	68	129	22	4	11	49	79	93	2	0	.261	.363	.389	.752
 Morneau, J	CWS	DH	58	203	16	53	14	1	6	25	12	52	0	0	.261	.303	.429	.731
 Green, G	SF	2B	18	46	7	12	2	0	1	7	3	8	0	0	.261	.300	.370	.670
 Springer, G	HOU	RF	162	644	116	168	29	5	29	82	88	178	9	10	.261	.359	.457	.815
 Escobar, A	KC	SS	162	637	57	166	24	6	7	55	27	96	17	4	.261	.292	.350	.642
 Wendle, J	OAK	2B	28	96	11	25	1	0	1	11	6	16	2	0	.260	.298	.302	.600
 Hamilton, B	CIN	CF	119	411	69	107	19	3	3	17	36	93	58	8	.260	.321	.343	.664
 Valbuena, L	HOU	3B	90	292	38	76	17	1	13	40	44	81	1	1	.260	.357	.459	.816
