 DeShields, D	TEX	LF	121	425	83	111	22	10	2	37	53	101	25	8	.261	.344	.374	.718	
 Bird, G	NYY	1B	46	157	26	41	9	0	11	31	19	53	0	0	.261	.343	.529	.871	
 Tejada, R	NYM	SS	116	360	36	94	23	0	3	28	38	70	2	1	.261	.338	.350	.688	
 Dominguez, C	CIN	LF	14	23	2	6	1	1	1	3	0	12	0	0	.261	.261	.522	.783	
 Vogt, S	OAK	C	136	445	58	116	21	3	18	71	56	97	0	2	.261	.341	.443	.783	
 Ciriaco, P	ATL	3B	84	142	14	37	8	1	1	15	2	38	4	2	.261	.275	.352	.627	
 Odor, R	TEX	2B	120	426	54	111	21	9	16	61	23	79	6	7	.261	.316	.465	.781	
 Perez, S	KC	C	142	531	52	138	25	0	21	70	13	82	1	0	.260	.280	.426	.706	
 Ynoa, R	COL	3B	72	127	14	33	8	1	0	9	3	28	1	0	.260	.277	.339	.616	
 Lawrie, B	OAK	3B	149	562	64	146	29	3	16	60	28	144	5	2	.260	.299	.407	.706	
 Barney, D	TOR	2B	17	27	4	7	1	0	2	4	1	2	0	0	.259	.286	.519	.804	
 Ozuna, M	MIA	CF	123	459	47	119	27	0	10	44	30	110	2	3	.259	.308	.383	.691	
 Gardner, B	NYY	LF	151	571	94	148	26	3	16	66	68	135	20	5	.259	.343	.399	.742	
 Peterson, S	MIL	LF	93	201	22	52	7	3	2	16	20	55	0	1	.259	.324	.353	.678	
 Bogusevic, B	PHI	LF	22	58	9	15	3	0	2	5	3	21	2	0	.259	.295	.414	.709	
 Granderson, C	NYM	RF	157	580	98	150	33	2	26	70	91	151	11	6	.259	.364	.457	.821	
 Headley, C	NYY	3B	156	580	74	150	29	1	11	62	51	135	0	2	.259	.324	.369	.693	
 Cuddyer, M	NYM	LF	117	379	44	98	18	1	10	41	24	88	2	0	.259	.309	.391	.699	
 Upton, M	SD	LF	87	205	23	53	12	4	5	17	21	62	9	3	.259	.327	.429	.757	
 Lagares, J	NYM	CF	143	441	47	114	16	5	6	41	16	87	7	3	.259	.289	.358	.647	
 Realmuto, J	MIA	C	126	441	49	114	21	7	10	47	19	70	8	4	.259	.290	.406	.696	
 Andrus, E	TEX	SS	160	596	69	154	34	2	7	62	46	78	25	9	.258	.309	.357	.667	
 Davis, R	DET	CF	112	341	55	88	16	11	8	30	22	76	18	8	.258	.306	.440	.746	
 Miller, B	SEA	SS	144	438	44	113	22	4	11	46	47	101	13	4	.258	.329	.402	.730	
 Cozart, Z	CIN	SS	53	194	28	50	10	1	9	28	14	29	3	3	.258	.310	.459	.769	
 Francoeur, J	PHI	RF	118	326	34	84	16	1	13	45	13	77	0	2	.258	.286	.433	.718	
 Semien, M	OAK	SS	155	556	65	143	23	7	15	45	42	132	11	5	.257	.310	.405	.715	
 Murphy, T	COL	C	11	35	5	9	1	0	3	9	4	10	0	0	.257	.333	.543	.876	
 Segura, J	MIL	SS	142	560	57	144	16	5	6	50	13	93	25	6	.257	.281	.336	.616	
 Freese, D	LAA	3B	121	424	53	109	27	0	14	56	31	107	1	1	.257	.323	.420	.743	
 Garcia, A	CWS	DH	148	553	66	142	17	2	13	59	36	141	7	7	.257	.309	.365	.675	
 Ellsbury, J	NYY	CF	111	452	66	116	15	2	7	33	35	86	21	9	.257	.318	.345	.663	
 Escobar, A	KC	SS	148	612	76	157	20	5	3	47	26	75	17	5	.257	.293	.320	.614	
 Crawford, B	SF	SS	143	507	65	130	33	4	21	84	39	119	6	4	.256	.321	.462	.782	
 Polanco, G	PIT	RF	153	593	83	152	35	6	9	52	55	121	27	10	.256	.320	.381	.701	
 Dietrich, D	MIA	2B	90	250	38	64	14	3	10	24	23	65	0	2	.256	.346	.456	.802	
